,id_collar,id_itm,id_user,lat,lng,time_stamp,month
1937,AV337,1FAE5DE,3508,36.823651484,-4.868055238,2022-02-21 12:11:18,2
1938,AV337,1FAE5DE,3508,36.823575189,-4.867719539,2022-02-21 12:40:57,2
1939,AV337,1FAE5DE,3508,36.823620966,-4.867658503,2022-02-21 13:10:44,2
1940,AV337,1FAE5DE,3508,36.823651484,-4.867826352,2022-02-21 13:41:33,2
1941,AV337,1FAE5DE,3508,36.823926146,-4.867841611,2022-02-21 14:11:01,2
1942,AV338,1FAE67D,3508,36.823743038,-4.868116274,2022-02-21 14:32:20,2
1943,AV337,1FAE5DE,3508,36.823544671,-4.868085756,2022-02-21 15:11:47,2
1944,AV337,1FAE5DE,3508,36.823651484,-4.86802472,2022-02-21 15:41:06,2
1945,AV338,1FAE67D,3508,36.823697261,-4.868055238,2022-02-21 16:01:30,2
1946,AV337,1FAE5DE,3508,36.823758297,-4.867902647,2022-02-21 16:11:15,2
1947,AV338,1FAE67D,3508,36.823590448,-4.86817731,2022-02-21 17:00:59,2
1948,AV338,1FAE67D,3508,36.823651484,-4.868085756,2022-02-21 18:00:24,2
1949,AV338,1FAE67D,3508,36.823743038,-4.868207828,2022-02-21 18:31:05,2
1950,AV337,1FAE5DE,3508,36.823743038,-4.868070497,2022-02-21 18:42:16,2
1951,AV338,1FAE67D,3508,36.823682002,-4.867933165,2022-02-21 19:30:10,2
1952,AV338,1FAE67D,3508,36.82371252,-4.867978943,2022-02-21 20:00:13,2
1953,AV338,1FAE67D,3508,36.82355993,-4.868085756,2022-02-21 20:29:43,2
1954,AV338,1FAE67D,3508,36.823468376,-4.868146792,2022-02-21 21:30:06,2
1955,AV338,1FAE67D,3508,36.823697261,-4.867612726,2022-02-21 22:58:51,2
1956,AV338,1FAE67D,3508,36.823773556,-4.867978943,2022-02-21 23:29:20,2
1957,AV338,1FAE67D,3508,36.82340734,-4.867597467,2022-02-21 23:58:43,2
1958,AV338,1FAE67D,3508,36.823819333,-4.868055238,2022-02-22 00:58:54,2
1959,AV338,1FAE67D,3508,36.823727779,-4.868039979,2022-02-22 01:27:58,2
1960,AV338,1FAE67D,3508,36.823682002,-4.867933165,2022-02-22 01:57:49,2
1961,AV337,1FAE5DE,3508,36.823773556,-4.868039979,2022-02-22 02:12:30,2
1962,AV338,1FAE67D,3508,36.823743038,-4.868070497,2022-02-22 02:27:47,2
1963,AV337,1FAE5DE,3508,36.823590448,-4.867887388,2022-02-22 02:42:39,2
1964,AV338,1FAE67D,3508,36.823773556,-4.867994202,2022-02-22 02:57:28,2
1965,AV337,1FAE5DE,3508,36.823758297,-4.868284123,2022-02-22 03:12:49,2
1966,AV338,1FAE67D,3508,36.82371252,-4.867490654,2022-02-22 03:28:07,2
